"JOLA" "MANJAGO" "SEREHULE" "SERERE" "WOLLOF" "MANDINKAI" "MANDINKAII" "FULAI" "FULAII" "BAMBARA" "MALINKE" "MOSSI" "AKANS" "KASEM" "NAMKAM" "YRI" "BANTU" "SEMI.BANTU" "MALAWI" "LWK" "CHONYI" "KAUMA" "KAMBE" "GIRIAMA" "MZIGUA" "WABONDEI" "WASAMBAA" "MKK" "SUDANESE" "SOMALI" "ANUAK" "GUMUZ" "ARI" "AFAR" "TYGRAY" "AMHARA" "WOLAYTA" "OROMO" "SWBANTU" "NAMA" "SEBANTU" "AMAXHOSA" "KARRETJIE" "KHOMANI" "KHWE" "XUN" "GUIGHANAKGAL" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"GUMUZ" 0 0 0.01657468960558 0.0260062554586862 0 0 0.0395594590038519 0 0.0578479135268989 0.0167847733466961 0.0166634743319175 0.0120419426659851 0.0165320033413214 0 0 0 0 0.0251991500178933 0 0.0521100140722926 0 0 0 0 0 0 0 0.0425631418364018 0.365487973164101 0 0 0 0.29671175634743 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0159174532809439 0 0
"ARI" 0 0 0 0.0207020133917945 0 0 0.0231402834408422 0 0.0438213128952591 0 0.0201805010346911 0 0.0266502517903547 0 0 0 0 0.0167422250735263 0 0 0 0 0 0 0 0.0223376018583851 0 0.258802749315914 0 0.518580968427222 0 0 0 0 0 0 0 0 0 0.0173321493492832 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012648140246923 0 0 0 0.0190618031758049 0 0
"AFAR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.429736666502031 0 0 0 0 0.524986052366271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.019098158174171 0.0261791229575269 0 0 0 0 0 0 0
"TYGRAY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.269268774057447 0 0.703488232313151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0272429936294014 0 0 0 0 0 0 0
"AMHARA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23956873171936 0.745872842809784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014558425470856 0 0 0 0 0 0 0 0
"WOLAYTA" 0 0 0 0 0 0 0 0 0.0152627974598435 0 0 0 0 0 0 0.0133035104034365 0 0 0 0 0 0 0 0 0 0 0 0.0692232727486577 0 0.217772812178944 0 0 0.176087267753556 0 0.445638951320437 0.0627113881351259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OROMO" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.345942467776796 0 0 0 0 0.641911511071686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0121460211515188 0 0 0 0 0 0 0 0
"SWBANTU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.019214750629999 0.12534138923814 0.257441844799564 0 0.0709002755709442 0 0 0 0 0.110197421672659 0.0141814649440186 0.0206658574979064 0 0 0 0 0 0 0 0 0 0 0 0 0.321144042520372 0 0 0 0 0.043682171582165 0 0 0 0 0.0172307815442314 0 0 0 0 0 0 0 0 0 0
"NAMA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0102552158894569 0 0 0 0 0 0 0 0 0 0 0.16995634215818 0 0 0 0.125659174785992 0.580164736617884 0 0 0 0.113964530548487 0 0 0 0 0 0 0 0 0 0 0 0
"SEBANTU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.250390541814584 0 0 0 0 0.0152208842582413 0 0.0494645530054703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.606779300194663 0.056117726273798 0 0 0 0.0220269944532434 0 0 0 0 0 0 0 0 0 0 0 0 0
"AMAXHOSA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0140571410499321 0 0 0 0 0 0 0 0.0612898163678982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0519624078418277 0.839833475194324 0 0.0328571595460178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KARRETJIE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.181646122914939 0 0.800870317393779 0 0 0 0.0174835596912816 0 0 0 0 0 0 0 0 0 0 0 0
"KHOMANI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31642913155521 0 0 0.631086401609399 0 0 0 0 0 0 0.0404859597364569 0 0 0 0.0119985070989337 0 0 0 0 0 0
"KHWE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0301932839283122 0.0702469567332696 0.0974598112238638 0.104382034672007 0.0386637386079994 0 0 0 0 0.0417655900011078 0.0374041249696037 0 0 0 0 0 0 0 0 0 0 0 0.0159862399983659 0.0707115593706651 0 0 0.0737485101379413 0 0 0 0.419438150356864 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"XUN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0269590208495357 0.03769283462214 0.0193675588468248 0.0148033179040777 0 0 0 0 0 0 0.0134790863462479 0 0 0 0 0 0 0 0 0 0 0 0.0345136741138522 0 0 0.0447071350034551 0 0 0.0693296827168306 0 0 0.739147689597036 0 0 0 0 0 0 0 0 0 0 0 0
"GUIGHANAKGAL" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.379884508670116 0 0.0455425828499979 0 0 0 0 0.574572908479886 0 0 0 0 0 0 0 0 0 0 0 0
"JUHOAN" 0 0 0 0 0 0 0.0216342176338292 0 0 0 0.0111397383356031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0129093663542041 0 0 0 0.0169891318849332 0 0 0 0 0 0 0.0736967363985778 0 0 0.43124261674921 0 0 0.432388192643643 0 0 0 0 0 0 0 0 0 0 0 0 0 0
