"pop" "\"main\"" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"310" "WOLLOF" "main.null" 5 27.60212 0.9187186 0.3615817
"311" "WOLLOF" "main.null" 1 28.8398 0.9354143 0.3461777
"312" "WOLLOF" "main.null" 2 28.70089 0.9398507 0.2968337
"313" "WOLLOF" "main.null" 3 27.9203 0.9288144 0.3544663
"314" "WOLLOF" "main.null" 4 25.5583 0.9143695 0.4808776
"315" "WOLLOF" "main.null" 5 26.97144 0.9339045 0.3931723
"316" "WOLLOF" "main.null" 1 28.56233 0.9211698 0.4478028
"317" "WOLLOF" "main.null" 2 22.51718 0.9341237 0.4089233
"318" "WOLLOF" "main.null" 3 24.60969 0.9263094 0.4580584
"319" "WOLLOF" "main.null" 4 29.39891 0.9261748 0.3611808
"320" "WOLLOF" "main.null" 5 29.91631 0.9267717 0.391252
"321" "WOLLOF" "main.null" 1 27.69284 0.9288971 0.3035658
"322" "WOLLOF" "main.null" 2 26.88196 0.9312217 0.4756139
"323" "WOLLOF" "main.null" 3 24.86655 0.9283169 0.4570401
"324" "WOLLOF" "main.null" 4 26.08359 0.9228394 0.4121051
"325" "WOLLOF" "main.null" 5 23.69429 0.917437 0.4911142
"326" "WOLLOF" "main.null" 1 24.3967 0.9331156 0.4206576
"327" "WOLLOF" "main.null" 2 22.91635 0.9221823 0.5087469
"328" "WOLLOF" "main.null" 3 30.43838 0.9189905 0.3970007
"329" "WOLLOF" "main.null" 4 26.17168 0.9196902 0.5183869
"330" "WOLLOF" "main.null" 5 24.52438 0.9177453 0.49873
"331" "WOLLOF" "main.null" 1 25.5583 0.9210362 0.3683512
"332" "WOLLOF" "main.null" 2 27.69284 0.9231583 0.3983146
"333" "WOLLOF" "main.null" 3 25.86405 0.9142167 0.4834604
"334" "WOLLOF" "main.null" 4 24.18468 0.9304245 0.4556427
"335" "WOLLOF" "main.null" 5 27.3309 0.9207252 0.4479884
"336" "WOLLOF" "main.null" 1 25.21119 0.9261877 0.5028239
"337" "WOLLOF" "main.null" 2 23.50635 0.9301973 0.513595
"338" "WOLLOF" "main.null" 3 28.24037 0.9235097 0.4495575
"339" "WOLLOF" "main.null" 4 25.60186 0.9221123 0.4128566
"340" "WOLLOF" "main.null" 5 26.48121 0.9226537 0.4815709
"341" "WOLLOF" "main.null" 1 26.88196 0.9183659 0.4582019
"342" "WOLLOF" "main.null" 2 26.17168 0.9284152 0.425667
"343" "WOLLOF" "main.null" 3 27.42115 0.920986 0.4089691
"344" "WOLLOF" "main.null" 4 23.72569 0.9244544 0.471016
"345" "WOLLOF" "main.null" 5 22.33419 0.9104065 0.5133172
"346" "WOLLOF" "main.null" 1 26.70347 0.9375951 0.3641545
