"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"188" "JOLAJUHOAN400g80p" "ancient" "1" "1MW(2D)" "0.582" "0.975" "0.999" 0.66 "1330" NA "0.45" "MANJAGO" "MANJAGO" "0.37" "MANJAGO" "MANJAGO" "1309" NA "0.41" "MANJAGO" "MANJAGO" "10326B" NA "0.22" "XUN" "MANJAGO"
"24" "JOLACEU400g95p" "ancient" "1" "1D(2D)" "0.637" "0.985" "0.999" 0.61 "1303" NA "0.47" "MANJAGO" "MANJAGO" "0.4" "WOLLOF" "MANJAGO" "1483" NA "0.49" "MANJAGO" "WOLLOF" "6481B" NA "0.19" "FULAI" "MANJAGO"
"6" "JOLACEU100g95p" "ancient" "1" "1D(2D)" "0.981" "1" "1" 0.42 "356B" NA "0.08" "GBR" "SERERE" "0.35" "MANJAGO" "WOLLOF" "1555" NA "0.27" "MANJAGO" "WOLLOF" "418B" NA "0.09" "GBR" "SERERE"
"174" "JOLAJUHOAN100g95p" "ancient" "1" "1D(2D)" "0.981" "0.998" "1" 0.45 "490B" NA "0.09" "XUN" "SERERE" "0.39" "MANJAGO" "MALINKE" "1181" NA "0.2" "MANJAGO" "FULAII" "471B" NA "0.09" "XUN" "MANJAGO"
"4" "JOLACEU100g90p" "ancient" "1" "1D(2D)" "0.988" "1" "1" 0.44 "570B" NA "0.12" "GBR" "SERERE" "0.37" "MANJAGO" "FULAI" "1453" NA "0.25" "MANJAGO" "FULAI" "510B" NA "0.13" "GBR" "SERERE"
"5" "JOLACEU100g95p" "main" "1" "2D" "0.981" "0.998" "1" 0.77 "623B" "(734B-434B)" "0.08" "GBR" "SERERE" "0.43" "MANJAGO" "WOLLOF" "1777" "(1739-1823)" "0.4" "MANJAGO" "WOLLOF" "959B" "(1106B-754B)" "0.07" "GBR" "SERERE"
"173" "JOLAJUHOAN100g95p" "main" "1" "1D(2D)" "0.961" "0.996" "1" 0.77 "695B" "(800B-467B)" "0.08" "XUN" "SERERE" "0.28" "MANJAGO" "MALINKE" "1798" "(1774-1888)" "0.4" "MANJAGO" "MALINKE" "1035B" "(1190B-244B)" "0.07" "XUN" "SERERE"
"171" "JOLAJUHOAN100g90p" "main" "1" "2D" "0.97" "0.999" "1" 0.77 "863B" "(987B-681B)" "0.12" "XUN" "SERERE" "0.29" "MANJAGO" "BAMBARA" "1785" "(1763-1814)" "0.2" "MANJAGO" "MALINKE" "884B" "(1037B-727B)" "0.12" "XUN" "MANDINKAI"
"169" "JOLAJUHOAN100g80p" "main" "1" "2D" "0.964" "0.999" "1" 0.77 "1017B" "(1117B-875B)" "0.22" "XUN" "MANDINKAI" "0.3" "MANJAGO" "BAMBARA" "1764" "(1737-1799)" "0.25" "MANJAGO" "BAMBARA" "1053B" "(1187B-887B)" "0.23" "XUN" "MANDINKAI"
"12" "JOLACEU200g95p" "ancient" "1" "1D(2D)" "0.966" "0.999" "1" 0.57 "2017B" NA "0.09" "GBR" "MANJAGO" "0.4" "MANJAGO" "WOLLOF" "1610" NA "0.47" "MANJAGO" "WOLLOF" "2271B" NA "0.11" "IBS" "SERERE"
