"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"70" "MALAWICEU400g90p" "ancient" "1" "1MW(2D)" "0.676" "0.957" "0.999" 0.7 "1851" NA "0.28" "SEMI.BANTU" "MZIGUA" "0.49" "MZIGUA" "MZIGUA" "1639" NA "0.31" "SEMI.BANTU" "MZIGUA" "9842B" NA "0.16" "GBR" "MZIGUA"
"216" "MALAWIJUHOAN400g95p" "ancient" "1" "1D(2D)" "0.701" "0.983" "0.999" 0.59 "1820" NA "0.31" "SEMI.BANTU" "MZIGUA" "0.4" "SEBANTU" "MZIGUA" "1587" NA "0.36" "SEMI.BANTU" "MZIGUA" "11278B" NA "0.11" "XUN" "MZIGUA"
"214" "MALAWIJUHOAN400g90p" "ancient" "1" "1MW(2D)" "0.709" "0.893" "0.998" 0.6 "1810" NA "0.3" "SEMI.BANTU" "SEBANTU" "0.35" "SEBANTU" "SEBANTU" "1598" NA "0.31" "SEMI.BANTU" "SEBANTU" "12210B" NA "0.14" "XUN" "MZIGUA"
"110" "MALAWIJOLA300g80p" "ancient" "1" "1D(2D)" "0.652" "0.983" "0.999" 0.6 "1804" NA "0.32" "SEMI.BANTU" "MZIGUA" "0.34" "SEMI.BANTU" "MZIGUA" "1530" NA "0.24" "SEMI.BANTU" "MZIGUA" "8450B" NA "0.38" "MANDINKAI" "MZIGUA"
"118" "MALAWIJOLA400g90p" "ancient" "1" "1D(2D)" "0.656" "0.997" "0.999" 0.52 "1798" NA "0.3" "SEMI.BANTU" "MZIGUA" "0.48" "MZIGUA" "SEMI.BANTU" "1574" NA "0.31" "SEMI.BANTU" "MZIGUA" "13370B" NA "0.46" "SEBANTU" "MZIGUA"
"120" "MALAWIJOLA400g95p" "ancient" "1" "1D(2D)" "0.688" "0.998" "0.999" 0.61 "1786" NA "0.24" "SEMI.BANTU" "MZIGUA" "0.45" "MZIGUA" "MZIGUA" "1544" NA "0.24" "SEMI.BANTU" "MZIGUA" "14324B" NA "0.43" "MZIGUA" "MZIGUA"
"212" "MALAWIJUHOAN400g80p" "ancient" "1" "1MW(2D)" "0.813" "0.932" "0.999" 0.62 "1784" NA "0.35" "SEMI.BANTU" "SEBANTU" "0.27" "AMAXHOSA" "SEBANTU" "1626" NA "0.3" "SEMI.BANTU" "SEBANTU" "11336B" NA "0.26" "XUN" "MZIGUA"
"106" "MALAWIJOLA200g90p" "ancient" "1" "1D(2D)" "0.583" "0.996" "0.999" 0.73 "1774" NA "0.22" "MZIGUA" "MZIGUA" "0.34" "MZIGUA" "MZIGUA" "1561" NA "0.16" "SEMI.BANTU" "MZIGUA" "5926B" NA "0.39" "MZIGUA" "MZIGUA"
"72" "MALAWICEU400g95p" "ancient" "1" "1D(2D)" "0.716" "0.99" "0.999" 0.69 "1769" NA "0.38" "SEMI.BANTU" "MZIGUA" "0.48" "MZIGUA" "MZIGUA" "1547" NA "0.36" "SEMI.BANTU" "MZIGUA" "8810B" NA "0.15" "GBR" "MZIGUA"
"109" "MALAWIJOLA300g80p" "main" "1" "1D" "0.933" "0.995" "1" 0.06 "1756" NA "0.17" "SEMI.BANTU" "MZIGUA" "0.48" "MZIGUA" "MZIGUA" "1779" NA "0.23" "SEMI.BANTU" "MZIGUA" "491" NA "0.4" "SEMI.BANTU" "MZIGUA"
"116" "MALAWIJOLA400g80p" "ancient" "1" "1D(2D)" "0.663" "0.978" "0.999" 0.55 "1756" NA "0.29" "SEMI.BANTU" "MZIGUA" "0.46" "SEMI.BANTU" "SEMI.BANTU" "1557" NA "0.29" "SEMI.BANTU" "MZIGUA" "12940B" NA "0.42" "MANDINKAI" "MZIGUA"
"119" "MALAWIJOLA400g95p" "main" "1" "1D" "0.918" "1" "1" 0.08 "1748" NA "0.24" "SEMI.BANTU" "MZIGUA" "0.5" "MZIGUA" "MZIGUA" "1773" NA "0.24" "SEMI.BANTU" "MZIGUA" "55" NA "0.41" "SEMI.BANTU" "MZIGUA"
"207" "MALAWIJUHOAN300g90p" "main" "1" "1D" "0.933" "0.985" "1" 0.09 "1748" NA "0.22" "SEMI.BANTU" "SEBANTU" "0.44" "SEBANTU" "SEBANTU" "1752" NA "0.21" "SEMI.BANTU" "SEBANTU" "946B" NA "0.46" "SEBANTU" "MZIGUA"
"115" "MALAWIJOLA400g80p" "main" "1" "1D" "0.923" "0.997" "0.999" 0.06 "1746" NA "0.29" "SEMI.BANTU" "MZIGUA" "0.44" "SEMI.BANTU" "SEMI.BANTU" "1770" NA "0.31" "SEMI.BANTU" "MZIGUA" "1295" NA "0.43" "MZIGUA" "SEMI.BANTU"
"65" "MALAWICEU300g95p" "main" "1" "1D" "0.881" "0.999" "1" 0.28 "1746" NA "0.26" "SEMI.BANTU" "MZIGUA" "0.47" "MZIGUA" "MZIGUA" "1763" NA "0.25" "SEMI.BANTU" "MZIGUA" "1168B" NA "0.31" "MZIGUA" "MZIGUA"
"209" "MALAWIJUHOAN300g95p" "main" "1" "1D" "0.933" "0.997" "1" 0.06 "1746" NA "0.19" "SEMI.BANTU" "MZIGUA" "0.31" "SEBANTU" "MZIGUA" "1767" NA "0.2" "SEMI.BANTU" "MZIGUA" "1161" NA "0.44" "MZIGUA" "MZIGUA"
"67" "MALAWICEU400g80p" "main" "1" "1D" "0.795" "0.976" "0.999" 0.06 "1745" NA "0.39" "SEMI.BANTU" "MZIGUA" "0.37" "MZIGUA" "MZIGUA" "1758" NA "0.4" "SEMI.BANTU" "MZIGUA" "403" NA "0.43" "MZIGUA" "MZIGUA"
"111" "MALAWIJOLA300g90p" "main" "1" "1D" "0.929" "0.998" "1" 0.05 "1743" NA "0.16" "SEMI.BANTU" "MZIGUA" "0.43" "MZIGUA" "MZIGUA" "1752" NA "0.4" "MZIGUA" "MZIGUA" "1601" NA "0.4" "SEMI.BANTU" "MZIGUA"
"213" "MALAWIJUHOAN400g90p" "main" "1" "1D" "0.923" "0.998" "0.999" 0.08 "1743" NA "0.34" "SEMI.BANTU" "SEBANTU" "0.45" "SEBANTU" "SEBANTU" "1765" NA "0.32" "SEMI.BANTU" "SEBANTU" "617" NA "0.36" "SEBANTU" "SEBANTU"
"201" "MALAWIJUHOAN200g90p" "main" "1" "1MW(2D)" "0.939" "0.796" "0.999" 0.45 "1736" NA "0.14" "SEMI.BANTU" "SEBANTU" "0.48" "MZIGUA" "SEBANTU" "1752" NA "0.13" "SEMI.BANTU" "SEBANTU" "1743B" NA "0.22" "XUN" "MZIGUA"
"211" "MALAWIJUHOAN400g80p" "main" "1" "1D" "0.926" "0.997" "0.999" 0.05 "1735" NA "0.3" "SEMI.BANTU" "SEBANTU" "0.4" "SEBANTU" "SEBANTU" "1754" NA "0.34" "SEMI.BANTU" "SEBANTU" "1016" NA "0.46" "SEBANTU" "SEBANTU"
"69" "MALAWICEU400g90p" "main" "1" "1D" "0.852" "0.996" "1" 0.04 "1732" NA "0.34" "SEMI.BANTU" "MZIGUA" "0.45" "MZIGUA" "MZIGUA" "1761" NA "0.37" "SEMI.BANTU" "MZIGUA" "1274" NA "0.4" "MZIGUA" "MZIGUA"
"63" "MALAWICEU300g90p" "main" "1" "1D" "0.873" "0.992" "1" 0.28 "1732" NA "0.22" "SEMI.BANTU" "MZIGUA" "0.25" "MZIGUA" "MZIGUA" "1744" NA "0.21" "SEMI.BANTU" "MZIGUA" "1949B" NA "0.32" "MZIGUA" "MZIGUA"
"113" "MALAWIJOLA300g95p" "main" "1" "1D" "0.924" "1" "1" 0.07 "1724" NA "0.17" "SEMI.BANTU" "MZIGUA" "0.31" "MZIGUA" "MZIGUA" "1740" NA "0.33" "MZIGUA" "MZIGUA" "1558" NA "0.4" "SEMI.BANTU" "MZIGUA"
"105" "MALAWIJOLA200g90p" "main" "1" "1D" "0.936" "0.998" "0.999" 0.24 "1722" NA "0.17" "SEMI.BANTU" "MZIGUA" "0.31" "MZIGUA" "MZIGUA" "1758" NA "0.19" "MZIGUA" "MZIGUA" "510B" NA "0.21" "MZIGUA" "MZIGUA"
"59" "MALAWICEU200g95p" "main" "1" "1D(2D)" "0.888" "0.977" "1" 0.82 "1722" NA "0.13" "SEMI.BANTU" "MZIGUA" "0.37" "MZIGUA" "MZIGUA" "1745" NA "0.12" "SEMI.BANTU" "MZIGUA" "2500B" NA "0.09" "GBR" "MZIGUA"
"117" "MALAWIJOLA400g90p" "main" "1" "1D" "0.905" "1" "1" 0.07 "1720" NA "0.26" "SEMI.BANTU" "MZIGUA" "0.49" "SEMI.BANTU" "MZIGUA" "1751" NA "0.33" "SEMI.BANTU" "MZIGUA" "1536" NA "0.48" "MZIGUA" "SEMI.BANTU"
"215" "MALAWIJUHOAN400g95p" "main" "1" "1D" "0.918" "1" "1" 0.06 "1718" NA "0.36" "SEMI.BANTU" "MZIGUA" "0.45" "SEBANTU" "MZIGUA" "1746" NA "0.39" "SEMI.BANTU" "MZIGUA" "554" NA "0.46" "MZIGUA" "MZIGUA"
"71" "MALAWICEU400g95p" "main" "1" "1D" "0.876" "0.999" "1" 0.05 "1715" NA "0.4" "SEMI.BANTU" "MZIGUA" "0.43" "MZIGUA" "MZIGUA" "1750" NA "0.41" "SEMI.BANTU" "MZIGUA" "1395" NA "0.49" "MZIGUA" "MZIGUA"
"103" "MALAWIJOLA200g80p" "main" "1" "1D(2D)" "0.925" "0.996" "1" 0.37 "1711" NA "0.17" "SEMI.BANTU" "MZIGUA" "0.29" "MZIGUA" "MZIGUA" "1752" NA "0.17" "SEMI.BANTU" "MZIGUA" "2047B" NA "0.45" "MANDINKAII" "MZIGUA"
"107" "MALAWIJOLA200g95p" "main" "1" "1D" "0.942" "0.999" "1" 0.07 "1708" NA "0.11" "SEMI.BANTU" "MZIGUA" "0.49" "MZIGUA" "MZIGUA" "1760" NA "0.36" "MZIGUA" "MZIGUA" "1603" NA "0.48" "MZIGUA" "MZIGUA"
"124" "JOLAMALAWI100g90p" "ancient" "1" "1MW(2D)" "0.737" "0.876" "0.999" 0.38 "1192" NA "0.19" "SEMI.BANTU" "SERERE" "0.36" "MANJAGO" "SERERE" "1168" NA "0.13" "SEMI.BANTU" "SERERE" "378" NA "0.45" "MANDINKAI" "SERERE"
"204" "MALAWIJUHOAN200g95p" "ancient" "1" "1D(2D)" "0.871" "0.988" "0.989" 0.85 "7772B" NA "0.11" "XUN" "MZIGUA" "0.36" "SEBANTU" "MZIGUA" "1582" NA "0.09" "SEMI.BANTU" "MZIGUA" "5354B" NA "0.09" "XUN" "MZIGUA"
"64" "MALAWICEU300g90p" "ancient" "1" "U" "0.92" "0.984" "0.984" 0.78 "6141B" NA "0.13" "GBR" "MZIGUA" "0.3" "SEBANTU" "MZIGUA" "1525" NA "0.27" "SEMI.BANTU" "MZIGUA" "6229B" NA "0.15" "GBR" "MZIGUA"
