"JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI.BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "WOLAYTA" "SOMALI" "ARI" "SUDANESE" "GUMUZ" "OROMO" "AMHARA" "AFAR" "ANUAK" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"MKK" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.200425122423086 0.0323681046531031 0 0 0.096473387178084 0 0 0.0487831555170906 0 0.116189616696861 0.0627860836231779 0 0.0513722103280435 0 0.118639732018399 0 0.0173181162198772 0.176592524769202 0.0551311301889104 0 0 0 0 0 0 0 0.0239208163841664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WOLAYTA" 0 0 0 0 0 0 0 0 0 0.0127565042050201 0 0 0 0 0 0 0 0 0.0121003750561644 0 0 0 0.0112709327365824 0 0 0 0.0135039062775492 0 0 0.0988013560403399 0 0.0137763810441822 0.807143066041193 0 0.0154202824784693 0.0152271961204997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SOMALI" 0 0 0 0.0126929203663845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0178790888237388 0 0 0 0.0313661425115779 0 0 0 0.0567242311640737 0 0 0 0.0149143185576145 0 0.573869813638034 0 0.125649090218862 0.0208899229448609 0.146014471774854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ARI" 0 0 0 0.0124390875826859 0 0 0 0 0 0.016080679628446 0 0 0 0 0 0 0 0 0.0179404472914254 0 0 0 0.0325369647801708 0 0 0 0.0315966624226858 0.742286097305273 0.0128006812274035 0 0 0.0383056653411854 0 0 0 0.0818109338221153 0 0 0 0 0 0 0 0 0.0142027805986094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SUDANESE" 0 0 0 0 0 0 0 0 0 0.0210319589801753 0 0 0 0.0209295480722353 0 0 0.0150079180835282 0 0.061727964263807 0 0 0 0 0 0 0 0.0292416337698561 0 0.0118312735659914 0 0 0 0 0 0 0.840229703264407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GUMUZ" 0 0 0 0.0387356921241531 0.0168263232513148 0 0.0173063593362836 0.0163515093842316 0 0.0443066706158136 0.0199890264216376 0.0150787281764848 0 0 0 0 0.0218949179651461 0 0.0333339466912073 0 0 0 0 0 0 0.0115907882212253 0.0212442605919904 0.295733651476998 0 0.0330992676959353 0.0503324923697085 0 0.0145297331812656 0 0 0.335835297676869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138113348197356 0 0
"OROMO" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.365654707105881 0.0592098639296646 0 0 0 0 0.296659968838042 0 0.0191837211485562 0.259291738977857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AMHARA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.452988581719 0 0 0 0.511714743600724 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0195226511037512 0.0157740235765248 0 0 0 0 0 0 0
"AFAR" 0 0 0 0 0 0 0 0 0 0.0108631373208244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0193439290600259 0 0.155304889791478 0 0 0 0.152336829763058 0.0335454100749651 0 0 0.589496644026383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0170289987436399 0.0220801612196252 0 0 0 0 0 0 0
"ANUAK" 0 0.0117948964029701 0 0.0301771411583155 0 0 0.0136641077142004 0.0156599386824493 0 0.0327361392351609 0.0139329903427575 0.0136235651881078 0.0129954805942696 0.044966900706566 0 0 0 0 0.129340847144209 0 0 0 0 0 0 0 0.0598540509990145 0.03959531106561 0.0200577090757725 0.0179333096274284 0.466682971879128 0.0516030160764716 0.0253816241075688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TYGRAY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0157888134228871 0 0.0365302454445383 0 0 0 0.397840475216141 0.353073253890802 0.0903227312367003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0451602363494338 0.0612842444394977 0 0 0 0 0 0 0
"MALAWI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0157437661909614 0 0 0.0844756479194561 0.0540567366969858 0.0618668670760534 0.0270999464597839 0.021064735753799 0.0292189442473495 0 0.0503415533433488 0.192292431642637 0.291547265633509 0 0 0 0 0 0 0 0 0 0 0 0 0.172292105036116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SEBANTU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0113636157592286 0 0 0 0.0113423526029649 0.0471576692081948 0 0 0 0 0 0 0 0 0 0 0 0 0.231409292040745 0 0.63105773501768 0 0 0.0183815056627982 0.0492878297083881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AMAXHOSA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.946369738891653 0 0 0 0 0.011446780456748 0.042183480651599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SWBANTU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0317325048512589 0 0 0.2174261825294 0.104752240270106 0.0601314007012062 0 0 0 0 0 0.0121412837179342 0.0704847989924564 0 0 0 0 0 0 0 0 0 0 0 0.125956252394123 0 0 0 0.0387220297623094 0 0 0.305708821494289 0 0 0 0 0.0329444852869164 0 0 0 0 0 0 0 0 0 0
"KHWE" 0 0 0 0 0 0 0 0 0 0.0122828136945651 0 0 0 0.0323576273070416 0 0 0.107489166563002 0.0785935840288583 0.0439378827034538 0 0 0 0 0 0.0342744400323238 0.0345711388151562 0 0 0 0 0 0 0 0 0 0 0 0.131438637040521 0.0237966853531679 0.026542342042264 0.0534822362086557 0 0.0390084823324369 0.0199368984605613 0.0950588098269709 0.202641328379627 0 0.064587927211395 0 0 0 0 0 0 0 0 0 0 0 0
"GUIGHANAKGAL" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0132400871554993 0 0 0 0 0 0 0 0 0 0 0 0.0296351053470549 0 0 0 0 0 0 0 0 0 0 0 0.022225634936011 0.330063616907372 0 0 0.0397873581395585 0 0.0710562865514326 0.010730559950728 0.085459425357535 0.289277637319379 0.10852428833543 0 0 0 0 0 0 0 0 0 0 0 0
"KARRETJIE" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.242846929607917 0 0 0.0361912806050439 0 0.0897372249213059 0.0273533790898802 0.53224721135158 0.0314087430954342 0 0.0180484179030145 0 0 0 0.0114555235681565 0.0107112898576674 0 0 0 0 0
"NAMA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.162321800826123 0 0 0.0724776140058228 0 0.0456232959892217 0.691445491365872 0.0281317978129606 0 0 0 0 0 0 0 0 0 0 0 0
"XUN" 0 0 0 0 0 0 0 0 0 0.0106473575548961 0 0 0 0.0131692146106277 0 0 0.0394458256899511 0.0248476985611111 0.014834196509676 0 0 0 0 0 0 0.0115291247436256 0 0 0 0 0 0 0 0 0 0 0 0 0.0356595801996423 0 0 0.16893224430977 0.0471383638836263 0.0314149479147794 0.171844987062782 0 0.0144027899467546 0.416133669012758 0 0 0 0 0 0 0 0 0 0 0 0
"KHOMANI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0142633209191437 0 0 0.0495757572381438 0.227734159744231 0.623863049712251 0 0 0.0128804241513366 0 0.0404263117238887 0.0132620491778896 0 0 0.0179949273331152 0 0 0 0 0 0
"JUHOAN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0493171583071039 0.0830136344579368 0.0186933630161545 0.0934496141634903 0.65642413978913 0.0991020902661845 0 0 0 0 0 0 0 0 0 0 0 0 0
"FIN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.904555705468144 0.0353939803166213 0 0 0.0150052497075252 0 0 0 0.0298850182134586 0.0151600462942514 0
"CEU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.085475835852806 0 0.520610536888175 0.284352498526165 0.109561128732854 0 0 0 0 0 0 0
"GBR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.870088839800122 0 0.112285571951295 0.0176255882485826 0 0 0 0 0 0 0
"IBS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0120695669398586 0 0 0.0330873431221147 0 0 0 0 0 0 0 0 0 0 0 0 0.417343174760143 0.164589647811449 0 0.356432217182582 0.0164780501838519 0 0 0 0 0 0
"TSI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0168319362759363 0 0 0.0385327313439301 0 0 0 0 0 0 0 0 0 0 0 0.0179409558451222 0.312049121007892 0.0497824070675555 0.506062364703163 0 0.0445615948643569 0 0 0 0.0142388888920441 0 0
"GIH" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0362050613255218 0 0 0 0.0279557121407614 0 0 0 0 0 0 0 0 0 0.0141325576876782 0 0.030342892708615 0.205234054541015 0.0282298708784454 0.137403232894373 0.237727535487785 0 0.0866837663906972 0 0 0.123086024918563 0.052159150169119 0.0208401408574264
"KHV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0240879257388734 0 0.348996439636618 0 0.608668148207573 0.0182474864169361 0
"CDX" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.603910149168958 0 0 0.396089850831042 0 0
"CHB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01049294362398 0 0 0 0 0 0.887634223546602 0.0894870141480623 0.0123858186813561
"CHS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0292225842365383 0.0926263987157401 0.878151017047721 0 0 0
"JPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0105446379060402 0.018302111961582 0 0 0.955644962946783 0 0 0.0155082871855952
"PELII" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0288292937609201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0423427711294639 0.135235137689382 0.0336783381943278 0.0241354951885875 0.09053219288251 0.0932628492478306 0 0.0333870574212876 0.311250033395133 0 0.207346831090557 0
