"pop" "a" "bootstrap.num" "date1.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"176" "JOLACEU100g90p" "main" 1 94.92336 0.9764328 0.6483149
"177" "JOLACEU100g90p" "main" 2 99.4436 0.9766144 0.6353846
"178" "JOLACEU100g90p" "main" 3 98.28432 0.97807 0.6513145
"179" "JOLACEU100g90p" "main" 4 99.13379 0.9770977 0.676877
"180" "JOLACEU100g90p" "main" 5 100.376 0.9720252 0.6207183
"181" "JOLACEU100g90p" "main" 1 96.0625 0.9760948 0.6112269
"182" "JOLACEU100g90p" "main" 2 96.44374 0.980081 0.711735
"183" "JOLACEU100g90p" "main" 3 98.20728 0.9748021 0.6616337
"184" "JOLACEU100g90p" "main" 4 92.14282 0.9718716 0.61448
"185" "JOLACEU100g90p" "main" 5 96.29115 0.9760707 0.6323462
"186" "JOLACEU100g90p" "main" 1 92.29205 0.9799957 0.6496491
"187" "JOLACEU100g90p" "main" 2 96.97876 0.9813226 0.5990962
"188" "JOLACEU100g90p" "main" 3 104.0701 0.9750093 0.6358929
"189" "JOLACEU100g90p" "main" 4 93.34009 0.9782308 0.6332435
"190" "JOLACEU100g90p" "main" 5 100.7267 0.9779048 0.6499178
"191" "JOLACEU100g90p" "main" 1 95.68202 0.9795006 0.6320352
"192" "JOLACEU100g90p" "main" 2 96.59645 0.9779072 0.6233775
"193" "JOLACEU100g90p" "main" 3 96.67285 0.974566 0.5837271
"194" "JOLACEU100g90p" "main" 4 100.0647 0.9790863 0.6472982
"195" "JOLACEU100g90p" "main" 5 94.54517 0.9785728 0.6189397
"196" "JOLACEU100g90p" "main" 1 97.74567 0.9817459 0.6533681
"197" "JOLACEU100g90p" "main" 2 96.0625 0.9799432 0.6621887
"198" "JOLACEU100g90p" "main" 3 99.59869 0.9786837 0.6493615
"199" "JOLACEU100g90p" "main" 4 97.28516 0.9780714 0.6504787
"200" "JOLACEU100g90p" "main" 5 98.05328 0.9762776 0.6103587
"201" "JOLACEU100g95p" "main" 1 84.55103 0.9654977 0.646855
"202" "JOLACEU100g95p" "main" 2 83.48329 0.966394 0.5605371
"203" "JOLACEU100g95p" "main" 3 88.01392 0.9645716 0.6798058
"204" "JOLACEU100g95p" "main" 4 85.41016 0.9692959 0.6541887
"205" "JOLACEU100g95p" "main" 5 83.05812 0.9654767 0.6178485
"206" "JOLACEU100g95p" "main" 1 89.33063 0.9608425 0.6819082
"207" "JOLACEU100g95p" "main" 2 91.3985 0.9678749 0.6636731
"208" "JOLACEU100g95p" "main" 3 87.64992 0.9683017 0.6951849
"209" "JOLACEU100g95p" "main" 4 84.26562 0.9602506 0.6876244
"210" "JOLACEU100g95p" "main" 5 84.98004 0.9633028 0.6187525
"211" "JOLACEU100g95p" "main" 1 82.63405 0.9622604 0.6185571
"212" "JOLACEU100g95p" "main" 2 91.54712 0.961841 0.6615852
"213" "JOLACEU100g95p" "main" 3 82.42242 0.9635409 0.6168049
"214" "JOLACEU100g95p" "main" 4 87.28668 0.9697763 0.6533856
