"Cluster" "Analysis" "pval" "Result" "max.R1." "FQ1" "FQ2" "maxScore2ev" "date.1D" "Date.CI" "alpha" "best.source1" "best.source2" "alpha2" "best.source1.ev2" "best.source2.ev2" "date.2D.1" "Date2a.CI" "alpha2.date1" "best.source1.date1" "best.source2.date1" "date.2D.2" "Date2b.CI" "alpha2.date2" "best.source1.date2" "best.source2.date2"
"55" "WOLAYTA" "main" "<0.01" "1D" "0.891" "1" "1" 0.29 "280" "(118B-610)" "0.22" "TSI" "ARI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "TYGRAY" "main" "<0.01" "1D" "0.956" "1" "1" 0.26 "155" "(161B-347)" "0.32" "TSI" "ARI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "AMHARA" "main" "<0.01" "2D" "0.954" "1" "1" 0.39 NA NA NA NA NA NA NA NA "1572" "(1122-1801)" "0.23" "TSI" "OROMO" "643B" "(1296B-367B)" "0.36" "TSI" "ARI"
"59" "ARI" "main" "<0.01" "1D" "0.885" "0.994" "0.999" 0.08 "606B" "(967B-285B)" "0.15" "TSI" "GUMUZ" NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "KAUMA" "main" "<0.01" "1D" "0.992" "0.982" "1" 0.29 "1219" "(1167-1254)" "0.06" "GIH" "MZIGUA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "CHONYI" "main" "<0.01" "1D" "0.989" "0.981" "1" 0.18 "1135" "(1037-1177)" "0.08" "KHV" "WASAMBAA" NA NA NA NA NA NA NA NA NA NA NA NA NA
"91" "XUN" "main" "<0.01" "1D(2D)" "0.957" "0.999" "1" 0.39 "1339" "(1257-1397)" "0.27" "SEMI.BANTU" "JUHOAN" NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "YRI" "main" "<0.01" "1D" "0.465" "0.999" "1" 0.03 "838" "(219B-1131)" "0.48" "SEMI.BANTU" "AKANS" NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "KASEM" "main" "<0.01" "1D" "0.305" "0.997" "1" 0.03 "829" "(136-1265)" "0.1" "SEMI.BANTU" "MOSSI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "NAMKAM" "main" "<0.01" "1D" "0.197" "0.996" "0.999" 0.02 "607" "(1119B-1161)" "0.11" "SEMI.BANTU" "MOSSI" NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "MALAWI" "main" "<0.01" "1MW" "0.895" "0.929" "0.992" 0.08 "576" "(364-722)" "0.21" "SEMI.BANTU" "MZIGUA" "0.16" "SEBANTU" "MZIGUA" NA NA NA NA NA NA NA NA NA NA
