"JOLA" "WOLLOF" "MANDINKAI" "MANDINKAII" "SEREHULE" "FULAI" "MALINKE" "SERERE" "MANJAGO" "FULAII" "BAMBARA" "AKANS" "MOSSI" "YRI" "KASEM" "NAMKAM" "SEMI-BANTU" "BANTU" "LWK" "KAMBE" "CHONYI" "KAUMA" "WASAMBAA" "GIRIAMA" "WABONDEI" "MZIGUA" "MKK" "WOLAYTA" "SOMALI" "ARI" "SUDANESE" "GUMUZ" "OROMO" "AMHARA" "AFAR" "ANUAK" "TYGRAY" "MALAWI" "SEBANTU" "AMAXHOSA" "SWBANTU" "KHWE" "GUIGHANAKGAL" "KARRETJIE" "NAMA" "XUN" "KHOMANI" "JUHOAN" "FIN" "CEU" "GBR" "IBS" "TSI" "GIH" "KHV" "CDX" "CHB" "CHS" "JPT" "PELII"
"JOLACEU100g80p.ancient.3" 0 0 0 0 0 0 0 0 0 0 0 0.131195150388715 0.176257030392724 0.0576801479798765 0.060355369637992 0 0 0.0263724106233013 0.0250958839881763 0.0102134521988247 0.00193911409257964 0 0.000212073464802338 0 0.0285292917164304 0.0239931529391637 0.00679385134188959 0.0253081166847054 0.00287791789867032 0 0.0150044876556181 0.0188012871939285 0 0.0211088286410703 0.0178395453747618 0.0613998795772502 0.0250181398824295 0.00177349698491709 0.00707453013567409 0 0.0126710442872683 0.00561660316335971 0.00292786219931138 0.00501967788911645 0 0.00824502834973441 0.0139219434549433 0.00515359037104446 0.0128523644168819 0 0.102713951229652 0 0.0446302708070572 0.011771475886663 0.00604928965099314 0.0122133701250097 0 0 0.00974217177559067 0.00162819759987415
"JOLACEU100g80p.ancient.4" 0 0 0 0 0 0 0 0 0 0 0 0.203146112867981 0.210807218579151 0.000177116126248091 0.0428019661267866 0.0348800961949807 0.13768409875113 0.0112524655842767 0 0 0 0.00403268158623245 0 0.00258273857764086 0 0 0.0029335994258049 0 0.0126777427610807 0.00629891558041254 0.0146486244772921 0 0 0.0014720911631972 0 0.0390399164857756 0 0.020629024763789 0 0 0 0 0 0 0 0 0 0 0.0191592045119506 0 0.0637346198875795 0.139727103313062 0.010043078032031 0.0076057639856084 0 0 0.0141531449320889 0 0 0.00051267628589984
"JOLACEU100g80p.ancient.5" 0 0 0 0 0 0 0 0 0 0 0 0.0563851833212154 0.152994892818826 0.0375061019114755 0 0.0986128714854655 0 0.0339599918057869 0.0306793054406838 0.0183512319383305 0.00162912485976646 0.00326072318882719 0 0 0.0253905061153591 0.0166793702336986 0.0217304650581213 0 0.00189646093579145 0 0.03694551153703 0.0220189935151641 0 0.00493560248253116 0.0671541677281929 0 0 0.00278992776873026 0 0.0384628972382414 0.0227568200729326 0.00598504096747257 0.0176563766128629 0.0148997113102465 0 0.00825112319854994 0.011985402937757 0.0105833202086721 0.0166316447322721 0 0.0690884356167114 0.0397111155973701 0.0343390056364663 0.0213841393649675 0 0.0220174707197931 0 0 0.0184919248014575 0.0148351388392313
"JOLACEU100g80p.ancient.6" 0 0 0 0 0 0 0 0 0 0 0 0.213816680227322 0.212590769023446 0 0.0591732512738726 0 0.170972476047195 0 0 0 0 0.00173663121490815 0 0 0 0 0 0 0.00878764005810525 0.0180779001031151 0 0 0 0 0 0.083273731438129 0 0 0 0 0 0 0 0 0 0 0 0 0.0154699636045745 0 0.0991487824225357 0.0677758306970073 0.0382455094031213 0.00276770042011083 0 0 0 0.00816313406655767 0 0
"JOLACEU100g80p.ancient.7" 0 0 0 0 0 0 0 0 0 0 0 0 0.00203884040063622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0741407764626936 0 0.483063408171875 0.269477814583107 0.169511676243853 0.00176748413783421 0 0 0 0 0 0
"JOLACEU100g80p.ancient.8" 0 0 0 0 0 0 0 0 0 0 0 0.211599997233001 0.240282626062417 0.0336445659402097 0.0246551035038025 0.0651976837495447 0.0918944282748367 0.0257748935200841 0.0094996379259377 0.0108480458358791 0.000196813728533459 0.00127167759668403 0 5.50501258469894e-05 0.0152073399012241 0.0121623203208334 0.00589555517722734 0.0416309784481568 0.0100494726648221 0.000311542153372043 0.0174904073037595 0.0105514133616147 0 0.00999831146115274 0.00518369737892777 0.0666448927418164 0.00795243112646858 0.018373630234228 0.00484808456852593 0 0.00132890021233512 0.00416883579553496 0.0032483442180838 0.003452419747779 0.00444606751781098 0.00206673336581411 0.0018248497786709 0.00186948975878349 0.000252765296178247 0 0 0 0 0.0107308491968533 0.00546845347323066 0.00176826431621278 0 0.0120114473908708 0.00458411705446182 0.00155786253847383
"JOLACEU100g90p.main.1" 0 0 0 0 0 0 0 0 0 0 0 0.0011946810478062 0 0 0 0 0.0154850672949029 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110022091653135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0703688645642983 0 0.425780677881384 0.323146708649498 0.129050161056995 0.0212458807421751 0 0 0 0.0126277378464096 0 0
"JOLACEU100g90p.main.2" 0 0 0 0 0 0 0 0 0 0 0 0.216557086427954 0.254718814994524 0.0329884633500879 0.0156713077397294 0.0759110095959028 0.0928611849327137 0.0248985141483734 0.0115544301045541 0.0111293249758434 0.000157444751369847 0.00191428599794964 0.00286741379253927 0 0.00974759550129253 0.0134087070373917 0.00637444134992191 0.0201556028182465 0.0117053131696399 0.00354349322958978 0.0166036897676604 0.0101448215600556 0.00317409916206994 0.0194232968215702 0.00436619225545527 0.0691762532314646 0 0.0180484255252659 0.00746034456133176 0 0.00062719789158908 0.0041036386653596 0.00295962867458082 0.00237127482245394 0.00439611437896888 0.00260286152240827 0.000968216174909779 0.00185297534413107 0 0 0 0 0 0.00458668083974151 0.00464276622421398 0.0020081914094579 0 0.00896515582627272 0.00445063096075255 0.000903110462663252
"JOLACEU100g90p.main.3" 0 0 0 0 0 0 0 0 0 0 0 0.218546558896708 0.0110082250080018 0 0.0389884519086483 0 0.116261669193319 0.0257743202684522 0.0282385526453403 0.00480148913140069 0.00649774547092731 0 0.011378306254578 0.0126907396628788 0.00733102036580472 0.0236390572923532 0.00272670751759661 0.0768227970358088 0.0156739858528122 0.00589833055578523 0.00128008298374208 0.0235368252222812 0 0.0280384960452171 0.00353866815172045 0.0872710518396593 0 0.0667419695365665 0.00892593904906305 0 0 0.0103736408089857 0.00724005227999382 0.00528358584912863 0.00702057425057573 0.00512361148519568 0.0118898571958947 0.0097801818235301 0.0097705521485594 0 0.00113031089738722 0 0 0.0155638897464764 0.0181943891420072 0.00446224766753587 0 0.0502767383008653 0.0152213809222206 0.00305799759297795
"JOLACEU100g90p.main.4" 0 0 0 0 0 0 0 0 0 0 0 0.181353001970673 0.302218291102736 0.0405415899307322 0.0147650483604769 0.0795769909033586 0.0721216139860677 0.0203194508275138 0.00377035884611895 0 0 0.00480420462948743 0 0 0.00852736633477576 0.00715880988984423 0.0061871241028812 0 0.00765116544138281 0.00134668897536879 0.019958085807711 0.00287761626034379 0 0.00387286245035552 0.00100799219074078 0.0512174171862129 0.0118072328757043 0 0.00294795744358195 0 0.00223769904817765 0.000414665190258731 0 0 0 0.000123557738758746 0 0 0.00884445683906258 0 0.0345670013409598 0.0811132295707279 0.026095801486478 0.00257271926950879 0 0 0 0 0 0
