,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult,FinalAnaly
25,MOSSI,main,1D,54,0.21,0.41,0.997,1,YRI,KASEM,0.2,AKANS,KASEM,1,51,0.05,0.27,KASEM,KASEM,0.15,SEMI.BANTU,KASEM,0,100,70,33,(97B-952),95,32,(840B-979),15,1,(1485-1892),1D,main
23,AKANS,main,1MW,18,0.03,0.623,0.791,0.999,MALAWI,KASEM,0.29,KASEM,NAMKAM,4,53,0.14,0.26,MOSSI,NAMKAM,0.04,MALAWI,KASEM,0,100,42,8,(717-1675),128,23,(1791B-1255),10,1,(1645-1892),1MW,main
53,MKK,main,2D,21,0.49,0.918,0.992,1,LWK,SOMALI,0.27,WABONDEI,LWK,9,75,0.61,0.06,TYGRAY,LWK,0.35,AFAR,LWK,0,100,24,15,(1225-1486),93,58,(764B-239),12,6,(1573-1747),2D,main
41,CHONYI,main,1D,27,0.08,0.989,0.981,1,KHV,WASAMBAA,0.24,LWK,MALAWI,23,113,0.18,0.2,MALAWI,WASAMBAA,0.08,KHV,MZIGUA,0,100,29,25,(1080-1182),179,33,(3259B-950),26,6,(1167-1733),1D,main
51,MZIGUA,main,1D,29,0.11,0.988,0.999,1,AFAR,WABONDEI,0.32,LWK,MALAWI,25,79,0.19,0.13,WASAMBAA,WABONDEI,0.12,WASAMBAA,WABONDEI,0,100,32,27,(1007-1138),106,32,(1156B-993),28,6,(1109-1733),1D,main
39,KAMBE,main,2D,22,0.07,0.989,0.987,1,GBR,MZIGUA,0.34,LWK,MALAWI,13,40,0.46,0.14,KAUMA,MZIGUA,0.06,GBR,MZIGUA,0,100,23,18,(1254-1399),82,30,(461B-1053),19,5,(1370-1776),2D,main
49,WABONDEI,main,2D,27,0.11,0.985,0.998,0.999,TYGRAY,MZIGUA,0.5,MALAWI,WASAMBAA,12,42,0.48,0.28,WASAMBAA,MZIGUA,0.1,TYGRAY,MZIGUA,0,100,29,23,(1080-1240),66,34,(19-936),21,3,(1326-1834),2D,main
37,LWK,main,2D,19,0.28,0.993,0.998,0.999,SUDANESE,MZIGUA,0.46,WASAMBAA,MZIGUA,15,64,0.59,0.25,SUDANESE,MZIGUA,0.29,WASAMBAA,MZIGUA,0,100,20,17,(1341-1428),80,45,(400B-616),17,12,(1428-1573),2D,main
47,GIRIAMA,main,1D,25,0.1,0.989,0.999,1,OROMO,MZIGUA,0.18,SEMI.BANTU,MALAWI,19,59,0.21,0.21,WASAMBAA,MZIGUA,0.1,OROMO,MZIGUA,0,100,27,23,(1138-1254),159,33,(2679B-964),24,8,(1225-1685),1D,main
45,WASAMBAA,main,1D,21,0.14,0.988,1,1,TYGRAY,MZIGUA,0.3,LWK,MALAWI,19,88,0.34,0.12,TYGRAY,MZIGUA,0.16,WOLAYTA,MZIGUA,0,100,23,20,(1254-1341),109,27,(1226B-1138),20,3,(1341-1834),1D,main
