,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult
9,JOLACEU200g90p,main,2D,140.574528626466,0.19,0.841,0.999,1,GBR,SERERE,0.25,SEMI.BANTU,FULAI,4.13058527338902,176.511441515803,0.72,0.46,FULAI,WOLLOF,0.12,GBR,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
10,JOLACEU200g90p,ancient,2D,153.668500063666,0.15,0.973,1,1,GBR,MANJAGO,0.45,FULAI,WOLLOF,9.35390512955137,159.131508323072,0.57,0.43,FULAI,FULAI,0.15,GBR,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
8,JOLACEU200g80p,ancient,2D,168.560966031763,0.25,0.982,1,1,GBR,MANJAGO,0.32,FULAI,FULAI,16.3821043417766,163.348965667274,0.45,0.49,FULAI,FULAI,0.25,GBR,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
7,JOLACEU200g80p,main,2D,206.20382749053,0.22,0.876,0.999,1,GBR,SERERE,0.28,MALAWI,FULAI,5.4730794598772,211.03709686138,0.72,0.48,FULAI,FULAI,0.23,GBR,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
16,JOLACEU300g90p,ancient,2D,209.199464192011,0.17,0.92,1,1,IBS,MANJAGO,0.32,MANJAGO,FULAI,3.85380364141155,210.747106650862,0.39,0.46,FULAI,FULAI,0.16,GBR,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
14,JOLACEU300g80p,ancient,2D,221.708526709492,0.27,0.95,1,1,GBR,MANJAGO,0.33,FULAI,FULAI,13.4664338649399,211.477602028531,0.36,0.5,FULAI,FULAI,0.26,GBR,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
20,JOLACEU400g80p,ancient,2D,250.0787763267,0.34,0.787,0.999,1,GBR,MANJAGO,0.37,FULAI,FULAI,10.7398924329296,297.253847254906,0.45,0.46,FULAI,FULAI,0.24,GBR,WOLLOF,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
121,JOLAMALAWI100g80p,main,2D,8.06650390625,0.22,0.825,0.884,0.999,SEMI.BANTU,SERERE,0.24,MANJAGO,SERERE,5.80879718512611,97.2915785284581,0.6,0.21,SERERE,SERERE,0.35,MZIGUA,MANDINKAI,1,0,10,7,(1645-1722),113,79,(1347B-375B),7,5,(1728-1784),2D
186,JOLAJUHOAN300g95p,ancient,2D,18.7827941003892,0.49,0.704,0.921,0.999,MANJAGO,MANJAGO,0.48,MANJAGO,MANJAGO,9.79616787329399,112.308825438396,0.63,0.41,SERERE,MANJAGO,0.23,MANJAGO,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
122,JOLAMALAWI100g80p,ancient,2D,32.7216749826085,0.45,0.752,0.953,0.999,SERERE,SERERE,0.37,MANJAGO,SERERE,13.6698310884682,58.4452454139916,0.43,0.3,SERERE,SERERE,0.46,SEMI.BANTU,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
